id_estacion,linea,nombre_estacion,vestibulo,nombre_acceso,direccion
153,1,Pinar de Chamartín,Pinar de Chamartín,Ascensor,"C/ Arturo Soria, 330"
153,1,Pinar de Chamartín,Pinar de Chamartín,Arturo Soria,"C/ Arturo Soria, 330"
152,1,Bambú,Bambú,Ascensor,"C/ Bambú, frente al nº 14"
152,1,Bambú,Bambú,Bambú,"C/ Bambú, frente al nº 14"
151,1,Chamartín,ADIF - Cercanías y Larga Distancia,ADIF - Cercanías y Larga Distancia,Corredor andenes ADIF
151,1,Chamartín,Chamartín,RENFE,Corredor andenes RENFE
151,1,Chamartín,Chamartín,Ascensor,"Agustín de Foxa, s/n"
151,1,Chamartín,Chamartín,Chamartín,Vestíbulo Cercanías Renfe
101,1,Plaza de Castilla,Avenida de Asturias,Intercambiador,Límite Intercambiador/Metro
101,1,Plaza de Castilla,Bravo Murillo,Bravo Murillo,"Bravo Murillo, 377"
101,1,Plaza de Castilla,Castellana,Castellana,Fr. Dep. Canal Isabel II
101,1,Plaza de Castilla,Castellana,Ascensor,Plaza de Castilla esq. Paseo Castellana pares - acera del Canal de Isabel II
101,1,Plaza de Castilla,Plaza de Castilla,Ascensor,"Paseo de la Castellana, bulevar central"
101,1,Plaza de Castilla,Plaza de Castilla,Plaza de Castilla,Pº. Castellana bulevar central
101,1,Plaza de Castilla,Plaza de Castilla,Intercambiador Superficie,Intercambiador Superficie
101,1,Plaza de Castilla,Plaza de Castilla,Intercambiador Subterraneo,Interconexión con Intercambiador subterráneo
101,1,Plaza de Castilla,Plaza de Castilla,"Castellana, impares","Pº Castellana, 189 (junto a torres)"
102,1,Valdeacederas,Aníbal,Aníbal,"Bravo Murillo, 350"
102,1,Valdeacederas,Capitán Blanco Argibay,Capitán Blanco Argibay,"Bravo Murillo, 324"
103,1,Tetuán,Algodonales,Algodonales,"Bravo Murillo, 269"
103,1,Tetuán,General Margallo,General Margallo,"General Margallo, 2 (esq. Bravo Murillo)"
104,1,Estrecho,Fulgencio de Miguel,Fulgencio de Miguel,"Bravo Murillo, 205"
104,1,Estrecho,Fulgencio de Miguel,Manuel Luna,"Bravo Murillo, 194"
104,1,Estrecho,Juan de Olías,Juan de Olías,"Bravo Murillo, 172"
104,1,Estrecho,Juan de Olías,Navarra,"Bravo Murillo, 181"
105,1,Alvarado,Alvarado,"Bravo Murillo, pares","Bravo Murillo, 136"
105,1,Alvarado,Alvarado,"Bravo Murillo, impares","Bravo Murillo, 135"
106,1,Cuatro Caminos,Central,Ascensor exterior,Santa Engracia (semiesquina Bravo Murillo)
106,1,Cuatro Caminos,Central,"Reina Victoria, pares","Avda. Reina Victoria, 2"
106,1,Cuatro Caminos,Central,Bravo Murillo,"Bravo Murillo, 101 (esq. Gta. Cuatro Caminos)"
106,1,Cuatro Caminos,Central,Santa Engracia,"Santa Engracia, 168"
106,1,Cuatro Caminos,Central,"Reina Victoria, impares","Gta. Cuatro Caminos (esq. Reina Victoria, 1)"
106,1,Cuatro Caminos,Maudes,Maudes,"Maudes, 8"
107,1,Ríos Rosas,Bretón de los Herreros,Santa Engracia-Plaza Descubridor Diego de Ordás,"Santa Engracia, 127"
107,1,Ríos Rosas,Ríos Rosas,"Ríos Rosas, impares","Ríos Rosas, 19"
107,1,Ríos Rosas,Ríos Rosas,"Ríos Rosas, pares","Ríos Rosas, 22"
108,1,Iglesia,Eloy Gonzalo,"Eloy Gonzalo, impares","Eloy Gonzalo, 35"
108,1,Iglesia,Eloy Gonzalo,Ascensor. Acceso a línea 1 dirección Pinar de Chamartín,"Glorieta Pintor Sorolla, 1"
108,1,Iglesia,Eloy Gonzalo,"Eloy Gonzalo, pares","Eloy Gonzalo, 38"
108,1,Iglesia,Martínez Campos,Ascensor. Acceso a línea 1 dirección Valdecarros,"General Martínez Campos, 1 (esq C/ Santa Engracia)"
108,1,Iglesia,Martínez Campos,Santa Engracia,"Santa Engracia, 58"
108,1,Iglesia,Martínez Campos,General Martínez Campos,"General Martínez Campos, 1"
108,1,Iglesia,Sagunto,Sagunto,"Santa Engracia, 61"
109,1,Bilbao,Central,Manuela Malasaña (Malasaña/Fuencarral),"Gta. Bilbao, 7"
109,1,Bilbao,Central,Fuencarral,"Gta. Bilbao, 5 (semiesq. Fuencarral)"
109,1,Bilbao,Central,Luchana Ascensor,"Glorieta de Bilbao, 6"
109,1,Bilbao,Luchana,Trafalgar,"Luchana, 23"
109,1,Bilbao,Luchana,Francisco de Rojas,"Luchana, 22 (esq. Fco. de Rojas)"
109,1,Bilbao,Luchana,"Luchana, impares","Luchana, 21 (esq. Trafalgar pares)"
110,1,Tribunal,Barceló,Fuencarral,"Fuencarral, 78"
110,1,Tribunal,Barceló,Barceló-Ascensor,"Barceló, 2"
110,1,Tribunal,Fuencarral,Tribunal de Cuentas,"Fuencarral, 81"
111,1,Gran Vía,Antonio Palacios,Fuencarral,"Gran Vía, 28"
111,1,Gran Vía,Antonio Palacios,Montera-Ascensor,"Montera, 47"
111,1,Gran Vía,Antonio Palacios,Montera,"Montera, 48"
111,1,Gran Vía,Antonio Palacios,Gran Vía,"Gran Vía, 25"
111,1,Gran Vía,Renfe,Calle -Nivel -4,Escaleras nivel -4
111,1,Gran Vía,Renfe,Montera-Ascensor nivel - 4,"Montera, 47"
111,1,Gran Vía,Renfe,Cercanías,Límite Metro/Renfe en nivel - 4
112,1,Sol,Mayor,Ascensor,Puerta del Sol
112,1,Sol,Mayor,Mayor,"Pta. del Sol, s/n (esq. Mayor y Arenal)"
112,1,Sol,Preciados,Centro Comercial,Acceso directo al centro comercial
112,1,Sol,Preciados,Preciados,"Preciados, 3"
112,1,Sol,Puerta del Sol,Alcalá,"Puerta del Sol, 13"
112,1,Sol,Puerta del Sol,Carmen,"Puerta del Sol, 12"
112,1,Sol,Puerta del Sol,RENFE,Cúpula de RENFE y Ascensor
112,1,Sol,Puerta del Sol,Carretas,"Pta. del Sol, 7 (semiesq. Carretas)"
112,1,Sol,RENFE,RENFE,Intercambiador Nivel -1
113,1,Tirso de Molina,Conde de Romanones,Conde de Romanones,"Pza. Tirso de Molina, 14"
113,1,Tirso de Molina,Magdalena,Magdalena,"Pza. Tirso de Molina, 1"
114,1,Antón Martín,Antón Martín,Amor de Dios,"Amor de Dios, 14 (Esq. Atocha , 73)"
114,1,Antón Martín,Antón Martín,Magdalena,"Atocha, 48"
114,1,Antón Martín,Atocha,"Atocha, pares","Atocha, 76"
114,1,Antón Martín,Atocha,"Atocha, impares","Atocha, 83"
115,1,Estación del Arte,Atocha,Plaza del Emperador Carlos V,"Gta. Carlos V, 11"
115,1,Estación del Arte,Ministerio de Agricultura,Ministerio,"Pº Infanta Isabel, 1"
116,1,Atocha,Alfonso XII,Paseo Infanta Isabel,"Pº Infanta Isabel, 15"
116,1,Atocha,Alfonso XII,Alfonso XII,"Pº Infanta Isabel, impares / Esq. Alfonso XII, pares"
116,1,Atocha,Alfonso XII,Renfe,Vestíbulo Renfe
116,1,Atocha,Alfonso XII,Ascensor,Pº Infanta Isabel impares
116,1,Atocha,Renfe,Renfe,Renfe Cercanías
117,1,Menéndez Pelayo,Comercio,Comercio,"C. Comercio, 2"
117,1,Menéndez Pelayo,Comercio,Comercio-Ascensor. Acceso a línea 1 dirección Pinar de Chamartín,"C. Comercio, 2"
117,1,Menéndez Pelayo,Gutenberg,Gutenberg,"Gutenberg, 4"
117,1,Menéndez Pelayo,Menéndez Pelayo,"Menéndez Pelayo, impares","Avda. Menéndez Pelayo, 123"
117,1,Menéndez Pelayo,Menéndez Pelayo,Menéndez Pelayo-Ascensor. Acceso a línea 1 dirección Valdecarros.,"Avda. Menéndez Pelayo, 123"
117,1,Menéndez Pelayo,Menéndez Pelayo,"Menéndez Pelayo, pares","Avda. Menéndez Pelayo, 44"
118,1,Pacífico,Doctor Esquerdo,"Doctor Esquerdo, impares","Doctor Esquerdo, 219 (Semiesq. Avda. Ciudad de Barcelona)"
118,1,Pacífico,Doctor Esquerdo,"Doctor Esquerdo, pares","Doctor Esquerdo, 186 (Semiesq. Avda. Ciudad de Barcelona)"
118,1,Pacífico,Dr. Esquerdo - Línea 6 - Ascensor,Ascensor,"C/ Doctor Esquerdo, 219"
118,1,Pacífico,Sánchez Barcáiztegui,Sánchez Barcáiztegui,"Sánchez Barcáiztegui, 1"
119,1,Puente de Vallecas,Albufera,"Albufera, impares","Avda. Albufera, 9"
119,1,Puente de Vallecas,Albufera,"Albufera, pares","Avda. Albufera, 14"
119,1,Puente de Vallecas,Peña Prieta,Peña Prieta,"Peña Prieta, 2"
120,1,Nueva Numancia,Norte,"Avda. Albufera, pares","Avda. Albufera, 54"
120,1,Nueva Numancia,Norte,"Avda. Albufera, impares","Avda. Albufera, 47"
120,1,Nueva Numancia,Sur,"Avda. Albufera, pares","Avda. Albufera, 76"
120,1,Nueva Numancia,Sur,"Avda. Albufera, impares","Avda. Albufera, 69"
121,1,Portazgo,Albufera,"Albufera, pares","Avda. Albufera, 108 (Esq. Sierra del Cadi)"
121,1,Portazgo,Albufera,Rogelio Folgueras,"Avda. Albufera, 117 (Esq. R. Folgueras)"
121,1,Portazgo,Josefa Díaz/Ascensor,Ascensor 1. Acceso a línea 1 dirección Valdecarros,"Avenida Albufera, 125"
121,1,Portazgo,Palomeras,Teniente Muñoz Díaz,"Avda. Albufera, 130"
