station_id,linea,estacion_nombre,tipo_conexion,nombre_conexion,icono,descripcion
123,1,Alto del Arenal,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
152,1,Bambú,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
122,1,Buenos Aires,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
151,1,Chamartín,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
111,1,Gran Vía,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
124,1,Miguel Hernández,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
120,1,Nueva Numancia,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
118,1,Pacífico,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
153,1,Pinar de Chamartín,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
101,1,Plaza de Castilla,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
121,1,Portazgo,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
119,1,Puente de Vallecas,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
125,1,Sierra de Guadalupe,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
112,1,Sol,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
151,10,Chamartín,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1016,10,Colonia Jardín,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
101,10,Plaza de Castilla,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
308,10,Plaza de España,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
625,10,Príncipe Pío,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
605,11,Plaza Elíptica,Autobuses de largo recorrido,Autobuses de largo recorrido,autobuses-de-largo-recorrido,
1203,12,Alcorcón Central,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1219,12,Alonso de Mendoza,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1217,12,Arroyo Culebro,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1227,12,Casa del Reloj,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1218,12,Conservatorio,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1224,12,El Bercial,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1225,12,El Carrascal,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
358,12,El Casar,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1214,12,Fuenlabrada Central,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1220,12,Getafe Central,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1228,12,Hospital Severo Ochoa,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1212,12,Hospital de Fuenlabrada,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1208,12,Hospital de Móstoles,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1221,12,Juan de la Cierva,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1226,12,Julián Besteiro,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1229,12,Leganés Central,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1210,12,Loranca,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1223,12,Los Espartales,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1209,12,Manuela Malasaña,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1206,12,Móstoles Central,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1211,12,Parque Europa,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1215,12,Parque de los Estados,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1207,12,Pradillo,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
1201,12,Puerta del Sur,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
253,2,Alsacia,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
207,2,Sevilla,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
112,2,Sol,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
310,3,Argüelles,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
304,3,Embajadores,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
305,3,Lavapiés,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
311,3,Moncloa,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
112,3,Sol,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
411,4,Avenida de América,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
410,4,Diego de León,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
501,5,Canillejas,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
513,5,Chueca,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
111,5,Gran Vía,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
310,6,Argüelles,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
411,6,Avenida de América,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
410,6,Diego de León,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
202,6,Manuel Becerra,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
311,6,Moncloa,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
605,6,Plaza Elíptica,Autobuses de largo recorrido,Autobuses de largo recorrido,autobuses-de-largo-recorrido,
625,6,Príncipe Pío,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
606,6,Usera,Autobuses de largo recorrido,Autobuses de largo recorrido,autobuses-de-largo-recorrido,
755,7,Coslada Central,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
759,7,Henares,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
760,7,Hospital del Henares,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
758,7,Jarama,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
756,7,La Rambla,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
757,7,San Fernando,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
808,8,Aeropuerto T4,Cercanías Renfe,Cercanías Renfe,cercanias-renfe,
807,8,Barajas,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
411,9,Avenida de América,Autobuses Interurbanos,Autobuses Interurbanos,autobuses-interurbanos,
